id,nationality,age,days_since_first_stay,days_since_last_stay,market_segment,segment
138,FRA,72,1098,1098,Travel Agent/Operator,Occasional Guests
139,FRA,66,1098,1098,Travel Agent/Operator,Occasional Guests
141,CHE,37,1100,1100,Travel Agent/Operator,Occasional Guests
143,FRA,59,1098,1098,Travel Agent/Operator,Occasional Guests
145,FRA,61,1097,1097,Travel Agent/Operator,Occasional Guests
147,ESP,36,1095,1095,Direct,Occasional Guests
149,USA,34,1096,1096,Other,Occasional Guests
154,PRT,NULL,1097,1097,Travel Agent/Operator,Occasional Guests
155,PRT,60,1096,1096,Travel Agent/Operator,Occasional Guests
157,CRI,38,1097,1097,Other,Occasional Guests
158,FRA,61,1098,1098,Travel Agent/Operator,Occasional Guests
159,PRT,46,1100,1100,Direct,Seasonal Spenders
162,USA,68,1098,1098,Other,Seasonal Spenders
165,FRA,67,1097,1097,Travel Agent/Operator,Occasional Guests
167,DEU,60,1104,1104,Travel Agent/Operator,Seasonal Spenders
169,ESP,53,1097,1097,Other,Occasional Guests
171,ITA,55,1097,1097,Groups,Occasional Guests
174,PRT,55,1097,1097,Groups,Occasional Guests
175,ITA,59,1097,1097,Groups,Occasional Guests
177,PRT,NULL,1097,1097,Other,Occasional Guests
178,ITA,34,1097,1097,Groups,Occasional Guests
180,ITA,38,1097,1097,Groups,Occasional Guests
182,DEU,67,1095,1095,Other,Occasional Guests
184,ITA,58,1097,1097,Other,Occasional Guests
186,ITA,55,1097,1097,Other,Occasional Guests
188,FRA,72,1097,1097,Travel Agent/Operator,Occasional Guests
190,PRT,53,1097,1097,Groups,Occasional Guests
191,ITA,35,1097,1097,Groups,Occasional Guests
193,FRA,69,1096,1096,Travel Agent/Operator,Occasional Guests
195,FRA,33,1096,1096,Travel Agent/Operator,Occasional Guests
196,JPN,47,1094,1094,Other,Occasional Guests
200,FRA,33,1096,1096,Travel Agent/Operator,Occasional Guests
201,PRT,NULL,1097,1097,Groups,Occasional Guests
202,PRT,NULL,1096,1096,Groups,Occasional Guests
203,PRT,NULL,1096,1096,Groups,Occasional Guests
204,PRT,60,1097,1097,Groups,Occasional Guests
206,FRA,53,1098,1098,Other,Occasional Guests
208,FRA,73,1097,1097,Travel Agent/Operator,Occasional Guests
210,JPN,52,1095,1095,Other,Occasional Guests
212,PRT,38,1094,1094,Direct,Low Spend Guests
214,DEU,53,1100,1100,Direct,Seasonal Spenders
217,PRT,NULL,1097,1097,Groups,Occasional Guests
218,ITA,57,1096,1096,Groups,Occasional Guests
220,ESP,41,1096,1096,Travel Agent/Operator,Occasional Guests
222,PRT,NULL,1096,1096,Other,Occasional Guests
223,PRT,NULL,1094,1094,Travel Agent/Operator,Low Spend Guests
224,ITA,41,1096,1096,Groups,Occasional Guests
227,PRT,NULL,1094,1094,Direct,Occasional Guests
228,FRA,44,1096,1096,Travel Agent/Operator,Occasional Guests
230,FRA,52,1096,1096,Travel Agent/Operator,Occasional Guests
231,PRT,NULL,1096,1096,Travel Agent/Operator,Occasional Guests
232,ITA,25,1097,1097,Groups,Occasional Guests
234,PRT,NULL,1096,1096,Travel Agent/Operator,Occasional Guests
235,FRA,60,1096,1096,Travel Agent/Operator,Occasional Guests
237,FRA,47,1096,1096,Travel Agent/Operator,Occasional Guests
239,FRA,63,1096,1096,Travel Agent/Operator,Occasional Guests
241,FRA,59,1096,1096,Travel Agent/Operator,Occasional Guests
242,CHE,26,1094,1094,Travel Agent/Operator,Low Spend Guests
244,FRA,39,1096,1096,Travel Agent/Operator,Occasional Guests
245,ROU,61,1104,1104,Travel Agent/Operator,Seasonal Spenders
247,PRT,NULL,1096,1096,Travel Agent/Operator,Occasional Guests
249,FRA,34,1096,1096,Travel Agent/Operator,Occasional Guests
251,FRA,30,1096,1096,Travel Agent/Operator,Occasional Guests
252,FRA,30,1101,1101,Other,Seasonal Spenders
254,ROU,30,1104,1104,Travel Agent/Operator,Seasonal Spenders
256,ESP,31,1095,1095,Travel Agent/Operator,Occasional Guests
258,FRA,58,1096,1096,Travel Agent/Operator,Occasional Guests
259,FRA,54,1096,1096,Travel Agent/Operator,Seasonal Spenders
261,PRT,38,1097,1097,Travel Agent/Operator,Occasional Guests
263,GBR,65,1096,1096,Travel Agent/Operator,Seasonal Spenders
265,PRT,NULL,1096,1096,Travel Agent/Operator,Seasonal Spenders
266,PRT,36,1095,1095,Direct,Occasional Guests
267,PRT,NULL,1094,1094,Complementary,Low Spend Guests
268,PRT,46,1095,1095,Travel Agent/Operator,Occasional Guests
270,FRA,56,1096,1096,Travel Agent/Operator,Occasional Guests
272,PRT,NULL,1093,1093,Travel Agent/Operator,Low Spend Guests
273,FRA,65,1098,1098,Other,Seasonal Spenders
275,ESP,43,1097,1097,Other,Seasonal Spenders
277,CHE,28,1097,1097,Direct,Occasional Guests
279,ESP,44,1097,1097,Other,Seasonal Spenders
281,ITA,71,1094,1094,Groups,Occasional Guests
283,PRT,NULL,1094,1094,Groups,Occasional Guests
284,FRA,55,1094,1094,Travel Agent/Operator,Occasional Guests
286,PRT,NULL,1094,1094,Groups,Occasional Guests
287,ITA,65,1094,1094,Groups,Occasional Guests
289,PRT,NULL,1094,1094,Groups,Occasional Guests
290,PRT,NULL,1094,1094,Groups,Low Spend Guests
292,PRT,22,1094,1094,Groups,Occasional Guests
294,PRT,58,1094,1094,Groups,Occasional Guests
296,PRT,54,1094,1094,Groups,Occasional Guests
298,PRT,78,1094,1094,Groups,Occasional Guests
300,PRT,68,1094,1094,Groups,Occasional Guests
302,PRT,31,1095,1095,Other,Occasional Guests
303,PRT,31,1095,1095,Other,Seasonal Spenders
304,BRA,41,1096,1096,Other,Seasonal Spenders
307,ITA,58,1094,1094,Groups,Low Spend Guests
308,ITA,60,1094,1094,Groups,Occasional Guests
310,ITA,66,1094,1094,Groups,Occasional Guests
312,ITA,44,1094,1094,Groups,Occasional Guests
313,ITA,61,1094,1094,Groups,Occasional Guests
314,ITA,63,1094,1094,Groups,Occasional Guests
315,ITA,68,1094,1094,Groups,Occasional Guests
317,ITA,65,1094,1094,Groups,Occasional Guests
319,ITA,41,1094,1094,Groups,Occasional Guests
321,ITA,67,1094,1094,Groups,Occasional Guests
322,ITA,74,1094,1094,Groups,Occasional Guests
323,PRT,NULL,1094,1094,Groups,Low Spend Guests
324,ITA,42,1094,1094,Groups,Occasional Guests
326,ITA,39,1094,1094,Groups,Occasional Guests
327,ITA,71,1094,1094,Groups,Occasional Guests
328,ITA,52,1094,1094,Groups,Occasional Guests
330,ITA,58,1094,1094,Groups,Occasional Guests
332,ITA,72,1094,1094,Groups,Occasional Guests
333,ITA,47,1094,1094,Groups,Occasional Guests
335,DEU,30,1097,1097,Travel Agent/Operator,Seasonal Spenders
338,ITA,65,1094,1094,Groups,Occasional Guests
340,PRT,38,1094,1094,Groups,Occasional Guests
342,PRT,NULL,1094,1094,Groups,Occasional Guests
343,PRT,NULL,1094,1094,Groups,Occasional Guests
344,ESP,57,1094,1094,Travel Agent/Operator,Occasional Guests
346,PRT,43,1094,1094,Groups,Occasional Guests
347,ITA,59,1094,1094,Groups,Occasional Guests
349,ITA,57,1094,1094,Groups,Occasional Guests
351,PRT,NULL,1094,1094,Groups,Occasional Guests
353,PRT,13,1098,1098,Other,Seasonal Spenders
355,PRT,48,1098,1098,Other,Seasonal Spenders
357,PRT,73,1094,1094,Groups,Occasional Guests
359,PRT,68,1094,1094,Groups,Occasional Guests
361,PRT,41,1094,1094,Groups,Occasional Guests
363,PRT,83,1094,1094,Groups,Occasional Guests
365,CHE,54,1101,1101,Travel Agent/Operator,Seasonal Spenders
368,PRT,30,1095,1095,Other,Seasonal Spenders
369,FRA,25,1094,1094,Travel Agent/Operator,Occasional Guests
371,ITA,70,1094,1094,Groups,Occasional Guests
373,PRT,NULL,1094,1094,Travel Agent/Operator,Occasional Guests
375,PRT,67,1092,1092,Corporate,Low Spend Guests
376,PRT,NULL,1092,1092,Direct,Low Spend Guests
378,ITA,55,1094,1094,Groups,Occasional Guests
379,PRT,44,1084,189,Corporate,Frequent Guests
380,USA,72,1091,1091,Travel Agent/Operator,Low Spend Guests
381,DEU,68,1093,1093,Travel Agent/Operator,Occasional Guests
383,DEU,55,1093,1093,Travel Agent/Operator,Occasional Guests
385,PRT,28,1091,1091,Travel Agent/Operator,Low Spend Guests
386,PRT,NULL,1093,1093,Travel Agent/Operator,Occasional Guests
387,FRA,66,1095,1095,Travel Agent/Operator,Occasional Guests
389,FIN,37,1095,1095,Travel Agent/Operator,Occasional Guests
391,ITA,25,1096,1096,Other,Seasonal Spenders
393,FRA,66,1095,1095,Travel Agent/Operator,Seasonal Spenders
395,DEU,27,1093,1093,Travel Agent/Operator,Occasional Guests
397,IRL,50,1093,1093,Direct,Occasional Guests
399,PRT,44,1091,1091,Direct,Low Spend Guests
400,PRT,NULL,1091,1091,Direct,Low Spend Guests
401,DEU,58,1094,1094,Travel Agent/Operator,Occasional Guests
403,FRA,38,1092,1092,Corporate,Occasional Guests
404,PRT,61,1093,1093,Other,Seasonal Spenders
406,FRA,63,1092,1092,Corporate,Occasional Guests
407,PRT,39,1090,1090,Direct,Occasional Guests
409,PRT,NULL,1090,1090,Direct,Low Spend Guests
410,ESP,49,1090,1090,Direct,Occasional Guests
411,PRT,31,1095,1095,Travel Agent/Operator,Occasional Guests
412,ESP,56,1090,1090,Direct,Occasional Guests
413,ESP,44,1090,587,Corporate,Occasional Guests
414,PRT,52,1092,1092,Groups,Occasional Guests
415,FRA,31,1092,1092,Travel Agent/Operator,Occasional Guests
417,AGO,52,1089,1089,Direct,Low Spend Guests
419,FRA,41,1091,1091,Travel Agent/Operator,Occasional Guests
421,USA,68,1089,1089,Travel Agent/Operator,Occasional Guests
423,PRT,31,1090,1090,Travel Agent/Operator,Low Spend Guests
424,PRT,53,1089,1089,Travel Agent/Operator,Low Spend Guests
425,AGO,42,1089,1089,Direct,Low Spend Guests
426,PRT,35,1087,1087,Travel Agent/Operator,Occasional Guests
427,PRT,75,1091,1091,Travel Agent/Operator,Seasonal Spenders
429,PRT,NULL,1111,331,Complementary,Low Spend Guests
430,PRT,NULL,1088,1088,Other,Seasonal Spenders
431,FRA,56,1091,1091,Travel Agent/Operator,Occasional Guests
433,DEU,67,1092,1092,Travel Agent/Operator,Occasional Guests
435,IRL,50,1088,1088,Direct,Occasional Guests
439,PRT,NULL,1088,1088,Direct,Occasional Guests
440,ROU,57,1088,1088,Travel Agent/Operator,Occasional Guests
442,ROU,43,1088,1088,Travel Agent/Operator,Occasional Guests
444,ROU,47,1088,1088,Travel Agent/Operator,Occasional Guests
446,FRA,54,1092,1092,Travel Agent/Operator,Seasonal Spenders
448,AGO,52,1087,1087,Direct,Occasional Guests
449,NLD,36,1091,1091,Travel Agent/Operator,Occasional Guests
451,PRT,NULL,1087,1087,Complementary,Occasional Guests
453,USA,32,1086,1086,Other,Low Spend Guests
455,PRT,NULL,1086,1086,Corporate,Low Spend Guests
456,PRT,NULL,1086,1086,Corporate,Low Spend Guests
457,PRT,41,1088,1088,Travel Agent/Operator,Occasional Guests
459,CAN,51,1088,1088,Travel Agent/Operator,Occasional Guests
460,FRA,53,1090,1090,Travel Agent/Operator,Occasional Guests
463,PRT,30,1089,1089,Direct,Occasional Guests
464,GBR,64,1087,1087,Travel Agent/Operator,Occasional Guests
466,BEL,62,1088,1088,Travel Agent/Operator,Occasional Guests
468,GBR,41,1087,1087,Travel Agent/Operator,Occasional Guests
469,FRA,51,1088,1088,Other,Occasional Guests
471,PRT,64,1084,1084,Direct,Low Spend Guests
472,PRT,41,1084,1084,Direct,Low Spend Guests
473,PRT,58,1084,1084,Other,Low Spend Guests
475,PRT,58,1086,1086,Travel Agent/Operator,Occasional Guests
477,DEU,55,1088,1088,Travel Agent/Operator,Occasional Guests
478,ZAF,51,1089,1089,Other,Seasonal Spenders
480,POL,59,1087,1087,Travel Agent/Operator,Occasional Guests
482,PRT,60,1084,551,Direct,Occasional Guests
483,FRA,32,1086,1086,Travel Agent/Operator,Occasional Guests
486,PRT,39,1084,1084,Direct,Occasional Guests
487,FRA,40,1085,1085,Travel Agent/Operator,Occasional Guests
489,NLD,39,1083,1083,Travel Agent/Operator,Low Spend Guests
490,BEL,48,1086,1086,Other,Seasonal Spenders
493,PRT,54,1083,1083,Direct,Low Spend Guests
494,FRA,30,1086,1086,Travel Agent/Operator,Occasional Guests
496,AGO,52,1083,1083,Direct,Occasional Guests
498,USA,66,1088,1088,Other,Seasonal Spenders
500,FRA,30,1082,1082,Other,Low Spend Guests
502,DEU,61,1082,1082,Other,Low Spend Guests
503,PRT,NULL,1082,1082,Corporate,Low Spend Guests
504,PRT,31,1082,1082,Corporate,Low Spend Guests
505,PRT,31,1082,1082,Corporate,Low Spend Guests
506,PRT,27,1082,1082,Corporate,Low Spend Guests
507,PRT,35,1082,1082,Travel Agent/Operator,Low Spend Guests
508,ITA,50,1082,1082,Travel Agent/Operator,Low Spend Guests
509,PRT,34,1082,1082,Travel Agent/Operator,Low Spend Guests
510,PRT,NULL,1082,1082,Travel Agent/Operator,Low Spend Guests
513,DEU,42,1084,1084,Travel Agent/Operator,Occasional Guests
515,FRA,61,1083,1083,Travel Agent/Operator,Occasional Guests
517,PRT,67,1082,1082,Travel Agent/Operator,Occasional Guests
518,PRT,54,1082,1082,Travel Agent/Operator,Occasional Guests
520,PRT,51,1080,1080,Travel Agent/Operator,Low Spend Guests
522,FRA,64,1083,1083,Travel Agent/Operator,Occasional Guests
523,PRT,44,1080,1080,Direct,Low Spend Guests
524,FRA,42,1081,1081,Other,Occasional Guests
526,DEU,46,1081,1081,Other,Occasional Guests
527,FRA,36,1082,1082,Travel Agent/Operator,Occasional Guests
529,BEL,38,1082,1082,Direct,Occasional Guests
531,PRT,32,1080,1080,Direct,Low Spend Guests
533,PRT,34,1082,1082,Groups,Occasional Guests
534,FRA,64,1082,1082,Groups,Occasional Guests
537,FRA,66,1082,1082,Groups,Occasional Guests
538,FRA,53,1082,1082,Groups,Occasional Guests
539,FRA,47,1082,1082,Groups,Occasional Guests
540,FRA,27,1082,1082,Groups,Occasional Guests
541,FRA,31,1082,1082,Groups,Occasional Guests
542,FRA,31,1082,1082,Groups,Occasional Guests
543,FRA,38,1082,1082,Groups,Occasional Guests
544,FRA,28,1082,1082,Groups,Occasional Guests
545,FRA,38,1082,1082,Groups,Occasional Guests
546,FRA,36,1082,1082,Groups,Occasional Guests
547,FRA,41,1082,1082,Groups,Occasional Guests
548,PRT,54,1082,1082,Groups,Occasional Guests
549,PRT,33,1082,1082,Groups,Occasional Guests
551,FRA,41,1082,1082,Groups,Low Spend Guests
552,PRT,NULL,1080,1080,Direct,Occasional Guests
554,GBR,56,1080,1080,Other,Occasional Guests
555,FRA,27,1082,1082,Travel Agent/Operator,Occasional Guests
556,DEU,59,1081,1081,Travel Agent/Operator,Occasional Guests
558,FRA,47,1081,1081,Travel Agent/Operator,Occasional Guests
560,FRA,55,1081,1081,Travel Agent/Operator,Occasional Guests
562,FRA,49,1082,1082,Travel Agent/Operator,Occasional Guests
563,PRT,53,1079,991,Direct,Low Spend Guests
564,PRT,NULL,1079,1079,Direct,Occasional Guests
566,AGO,62,1081,1081,Direct,Occasional Guests
567,FRA,63,1080,1080,Travel Agent/Operator,Occasional Guests
569,PRT,47,1078,785,Corporate,Other
570,DEU,78,1080,1080,Travel Agent/Operator,Occasional Guests
571,GRC,45,1078,1078,Travel Agent/Operator,Occasional Guests
572,GRC,40,1078,1078,Travel Agent/Operator,Occasional Guests
573,FRA,37,1080,1080,Travel Agent/Operator,Occasional Guests
574,FRA,38,1078,1078,Corporate,Occasional Guests
575,PRT,53,1077,404,Corporate,Other
576,BEL,68,1081,1081,Other,Occasional Guests
578,DEU,52,1079,1079,Travel Agent/Operator,Occasional Guests
580,ITA,57,1078,1078,Travel Agent/Operator,Occasional Guests
582,AUS,27,1077,1077,Travel Agent/Operator,Occasional Guests
584,AUS,31,1077,1077,Travel Agent/Operator,Occasional Guests
586,AUS,26,1077,1077,Travel Agent/Operator,Occasional Guests
588,AGO,39,1076,1076,Direct,Low Spend Guests
589,ESP,63,1076,1076,Travel Agent/Operator,Low Spend Guests
590,JPN,49,1077,1077,Travel Agent/Operator,Occasional Guests
591,ESP,58,1076,1076,Travel Agent/Operator,Low Spend Guests
592,DEU,54,1077,1077,Travel Agent/Operator,Occasional Guests
593,ROU,31,1078,1078,Other,Occasional Guests
596,FRA,51,1077,1077,Travel Agent/Operator,Occasional Guests
597,DEU,49,1076,1076,Travel Agent/Operator,Low Spend Guests
598,USA,56,1077,1077,Travel Agent/Operator,Occasional Guests
599,DEU,61,1077,1077,Travel Agent/Operator,Occasional Guests
600,ITA,51,1077,1077,Travel Agent/Operator,Occasional Guests
601,PRT,56,1077,113,Corporate,VIP Guests
602,BEL,56,1077,1077,Travel Agent/Operator,Occasional Guests
603,PRT,44,1077,1077,Travel Agent/Operator,Occasional Guests
604,DEU,42,1077,1077,Travel Agent/Operator,Occasional Guests
605,DEU,51,1077,1077,Travel Agent/Operator,Occasional Guests
606,PRT,NULL,1077,1077,Travel Agent/Operator,Occasional Guests
607,FRA,30,1079,1079,Travel Agent/Operator,Occasional Guests
609,ISR,46,1076,1076,Direct,Occasional Guests
611,PRT,44,1077,1077,Other,Occasional Guests
613,PRT,51,1075,1075,Corporate,Low Spend Guests
614,PRT,49,1075,1075,Corporate,Occasional Guests
615,GBR,53,1078,1078,Direct,Occasional Guests
616,PRT,56,1075,1075,Direct,Low Spend Guests
617,DEU,32,1079,1079,Travel Agent/Operator,Occasional Guests
619,PRT,54,1075,1075,Direct,Occasional Guests
621,PRT,25,1075,1075,Direct,Low Spend Guests
623,PRT,44,1075,1075,Direct,Seasonal Spenders
624,BGR,40,1077,1077,Travel Agent/Operator,Occasional Guests
625,PRT,62,1075,1075,Other,Low Spend Guests
626,USA,66,1081,1081,Direct,Seasonal Spenders
627,SAU,58,1077,1075,Direct,Occasional Guests
628,DEU,66,1078,1078,Travel Agent/Operator,Occasional Guests
629,BRA,60,1078,1078,Other,Occasional Guests
630,PRT,45,1073,720,Direct,Low Spend Guests
632,PRT,NULL,1073,1073,Complementary,Low Spend Guests
633,GBR,60,1073,1073,Direct,Low Spend Guests
635,BEL,27,1075,1075,Travel Agent/Operator,Occasional Guests
637,DEU,63,1073,1073,Direct,Low Spend Guests
639,PRT,NULL,1073,1073,Direct,Occasional Guests
640,ISR,56,1076,1076,Direct,Occasional Guests
641,SWE,32,1080,1080,Other,Occasional Guests
643,BEL,60,1073,1073,Direct,Low Spend Guests
644,PRT,33,1073,1073,Direct,Low Spend Guests
645,PRT,48,1073,1073,Direct,Low Spend Guests
647,PRT,80,1074,101,Direct,Frequent Guests
648,ROU,31,1073,1073,Direct,Low Spend Guests
650,GBR,42,1074,1074,Travel Agent/Operator,Occasional Guests
652,GBR,79,1076,1076,Other,Occasional Guests
653,PRT,NULL,1073,1008,Corporate,Occasional Guests
655,PRT,NULL,1072,1072,Corporate,Low Spend Guests
656,PRT,NULL,1072,1072,Corporate,Low Spend Guests
657,PRT,NULL,1072,1072,Direct,Low Spend Guests
659,FRA,55,1074,1074,Travel Agent/Operator,Occasional Guests
661,FRA,38,1074,1074,Travel Agent/Operator,Occasional Guests
663,FRA,60,1074,1074,Travel Agent/Operator,Occasional Guests
665,FRA,23,1076,1076,Direct,Occasional Guests
666,PRT,53,1074,1074,Direct,Occasional Guests
668,PRT,62,1071,1071,Groups,Low Spend Guests
669,CYP,49,1071,1071,Corporate,Low Spend Guests
670,PRT,45,1072,96,Corporate,VIP Guests
671,PRT,43,1071,1015,Corporate,Occasional Guests
672,BRA,76,1071,1071,Groups,Low Spend Guests
674,PRT,50,1071,1071,Groups,Low Spend Guests
675,PRT,37,1071,1071,Groups,Low Spend Guests
676,PRT,78,1071,1071,Groups,Low Spend Guests
677,GBR,76,1075,1075,Other,Occasional Guests
678,PRT,69,1073,1073,Travel Agent/Operator,Occasional Guests
680,PRT,37,1071,1071,Groups,Occasional Guests
681,PRT,NULL,1071,1071,Groups,Low Spend Guests
682,PRT,NULL,1071,1071,Complementary,Low Spend Guests
683,PRT,6,1071,1071,Groups,Low Spend Guests
685,PRT,38,1071,1071,Other,Low Spend Guests
686,BRA,38,1071,1071,Groups,Low Spend Guests
687,PRT,35,1071,1071,Direct,Low Spend Guests
688,BRA,52,1071,1071,Groups,Occasional Guests
690,CHE,73,1071,1071,Direct,Occasional Guests
692,FRA,33,1073,1073,Travel Agent/Operator,Occasional Guests
694,ARG,77,1071,1071,Groups,Occasional Guests
696,BRA,70,1071,1071,Groups,Occasional Guests
697,ITA,43,1071,1071,Groups,Occasional Guests
699,ARG,73,1071,1071,Groups,Seasonal Spenders
700,ESP,33,1071,1071,Groups,Occasional Guests
701,BRA,31,1071,1071,Groups,Seasonal Spenders
704,BRA,62,1071,1071,Groups,Seasonal Spenders
707,ARM,55,1071,1071,Groups,Occasional Guests
708,BRA,64,1071,1071,Groups,Occasional Guests
710,BRA,55,1072,1072,Groups,Seasonal Spenders
713,PRT,58,1071,1071,Groups,Occasional Guests
714,ARG,56,1071,1071,Groups,Seasonal Spenders
717,CHL,77,1071,1071,Groups,Occasional Guests
718,ARG,54,1072,1072,Groups,Seasonal Spenders
720,PRT,NULL,1072,1072,Travel Agent/Operator,Occasional Guests
721,FRA,45,1070,1070,Corporate,Low Spend Guests
722,FRA,41,1070,1070,Corporate,Low Spend Guests
723,FRA,51,1071,1071,Corporate,Occasional Guests
724,PRT,NULL,1070,1070,Direct,Low Spend Guests
725,DEU,31,1070,991,Other,Occasional Guests
726,PRT,NULL,1072,1072,Corporate,Occasional Guests
727,BEL,59,1072,1072,Other,Occasional Guests
728,BEL,21,1074,1074,Travel Agent/Operator,Occasional Guests
730,ITA,45,1072,1072,Travel Agent/Operator,Occasional Guests
733,BRA,23,1071,1071,Groups,Occasional Guests
735,BRA,61,1072,1072,Other,Occasional Guests
737,ESP,57,1071,1071,Groups,Low Spend Guests
738,PRT,NULL,1070,1070,Groups,Occasional Guests
739,BRA,56,1071,1071,Groups,Occasional Guests
741,BRA,53,1071,1071,Groups,Occasional Guests
743,BRA,29,1071,1071,Groups,Occasional Guests
745,ESP,76,1070,1070,Direct,Low Spend Guests
746,PRT,39,1073,1073,Direct,Seasonal Spenders
749,ITA,51,1070,1070,Corporate,Occasional Guests
750,BRA,54,1071,1071,Groups,Seasonal Spenders
752,BRA,65,1071,1071,Groups,Seasonal Spenders
754,PRT,NULL,1071,1071,Direct,Occasional Guests
755,ITA,70,1070,1070,Corporate,Occasional Guests
756,PRT,54,1069,1069,Complementary,Low Spend Guests
757,FRA,38,1070,671,Corporate,Occasional Guests
758,FRA,51,1069,740,Corporate,Occasional Guests
759,GBR,42,1072,1072,Travel Agent/Operator,Occasional Guests
762,BEL,24,1071,1071,Travel Agent/Operator,Occasional Guests
764,GBR,60,1069,1069,Other,Occasional Guests
765,PRT,42,1068,1068,Groups,Occasional Guests
766,PRT,40,1068,1068,Groups,Low Spend Guests
767,PRT,NULL,1068,1068,Groups,Occasional Guests
768,PRT,NULL,1068,1068,Groups,Occasional Guests
